Step:7372 Raw:78 Control:5.32 
Step:7397 Raw:80 Control:6.20 
Step:7422 Raw:77 Control:1.45 
Step:7447 Raw:74 Control:5.45 
Step:7472 Raw:80 Control:8.51 
Step:7497 Raw:74 Control:-2.74 
Step:7522 Raw:74 Control:6.86 
Step:7547 Raw:75 Control:5.59 
Step:7572 Raw:74 Control:2.41 
Step:7597 Raw:75 Control:3.37 
Step:7622 Raw:77 Control:1.45 
Step:7647 Raw:80 Control:-1.29 
Step:7672 Raw:79 Control:-4.30 
Step:7696 Raw:76 Control:-0.27 
Step:7721 Raw:80 Control:5.45 
Step:7746 Raw:79 Control:-1.27 
Step:7771 Raw:80 Control:0.98 
Step:7796 Raw:80 Control:0.24 
Step:7821 Raw:80 Control:0.96 
Step:7846 Raw:80 Control:1.49 
Step:7871 Raw:85 Control:1.75 
Step:7896 Raw:82 Control:-5.26 
Step:7921 Raw:84 Control:1.60 
Step:7946 Raw:80 Control:-0.44 
Step:7971 Raw:86 Control:6.12 
Step:7996 Raw:89 Control:-3.73 
Step:8022 Raw:85 Control:-6.43 
Step:8046 Raw:85 Control:2.78 
Step:8071 Raw:87 Control:3.23 
Step:8096 Raw:85 Control:-0.25 
Step:8121 Raw:84 Control:3.18 
Step:8146 Raw:82 Control:4.31 
Step:8171 Raw:86 Control:6.12 
Step:8196 Raw:81 Control:-1.36 
Step:8221 Raw:85 Control:6.50 
Step:8246 Raw:85 Control:-0.54 
Step:8271 Raw:85 Control:-0.14 
Step:8296 Raw:87 Control:0.82 
Step:8322 Raw:81 Control:-1.47 
Step:8346 Raw:80 Control:8.37 
Step:8371 Raw:76 Control:7.80 
Step:8396 Raw:81 Control:10.76 
Step:8421 Raw:77 Control:-0.09 
Step:8446 Raw:81 Control:5.52 
Step:8471 Raw:80 Control:-1.20 
Step:8496 Raw:79 Control:1.06 
Step:8521 Raw:76 Control:3.17 
Step:8546 Raw:71 Control:7.16 
Step:8571 Raw:74 Control:12.38 
Step:8596 Raw:73 Control:3.96 
Step:8621 Raw:77 Control:3.77 
Step:8646 Raw:73 Control:-2.63 
Step:8671 Raw:71 Control:4.69 
Step:8696 Raw:77 Control:7.18 
Step:8720 Raw:75 Control:-3.36 
Step:8745 Raw:77 Control:1.05 
Step:8770 Raw:74 Control:-0.79 
Step:8795 Raw:79 Control:4.71 
Step:8820 Raw:79 Control:-2.99 
Step:8845 Raw:79 Control:-1.35 
Step:8870 Raw:82 Control:0.45 
Step:8895 Raw:83 Control:-2.85 
Step:8920 Raw:82 Control:-2.32 
Step:8945 Raw:86 Control:1.19 
Step:8970 Raw:83 Control:-3.76 
Step:8995 Raw:83 Control:2.68 
Step:9020 Raw:85 Control:3.02 
Step:9046 Raw:85 Control:-0.26 
Step:9070 Raw:86 Control:0.46 
Step:9095 Raw:88 Control:-0.19 
Step:9120 Raw:87 Control:-2.11 
Step:9145 Raw:86 Control:0.98 
Step:9170 Raw:90 Control:3.15 
Step:9195 Raw:90 Control:-2.90 
Step:9220 Raw:87 Control:-1.30 
Step:9245 Raw:91 Control:4.59 
Step:9270 Raw:87 Control:-1.78 
Step:9295 Raw:91 Control:4.96 
Step:9320 Raw:87 Control:-1.49 
Step:9346 Raw:88 Control:5.11 
Step:9371 Raw:87 Control:2.86 
Step:9396 Raw:88 Control:3.62 
Step:9421 Raw:89 Control:1.49 
Step:9446 Raw:86 Control:0.05 
Step:9472 Raw:82 Control:5.04 
Step:9497 Raw:84 Control:9.82 
Step:9522 Raw:84 Control:3.86 
Step:9547 Raw:81 Control:2.44 
Step:9572 Raw:85 Control:6.41 
Step:9597 Raw:86 Control:-0.87 
Step:9622 Raw:83 Control:-1.66 
Step:9647 Raw:81 Control:4.26 
Step:9672 Raw:75 Control:6.71 
Step:9697 Raw:80 Control:13.41 
Step:9722 Raw:74 Control:1.82 
Step:9746 Raw:76 Control:9.43 
Step:9772 Raw:70 Control:4.09 
Step:9797 Raw:72 Control:11.34 
Step:9822 Raw:76 Control:5.14 
Step:9847 Raw:72 Control:-2.38 
Step:9872 Raw:68 Control:4.82 
Step:9897 Raw:73 Control:10.20 
Step:9922 Raw:76 Control:0.11 
Step:9947 Raw:78 Control:-4.03 
Step:9972 Raw:77 Control:-4.27 
Step:9997 Raw:74 Control:0.23 
Step:10022 Raw:73 Control:5.98 
Step:10047 Raw:77 Control:6.37 
Step:10072 Raw:82 Control:-1.07 
Step:10097 Raw:81 Control:-7.30 
Step:10122 Raw:82 Control:-2.04 
Step:10147 Raw:89 Control:-0.92 
Step:10172 Raw:85 Control:-9.31 
Step:10198 Raw:82 Control:0.85 
Step:10223 Raw:84 Control:6.75 
Step:10248 Raw:87 Control:2.40 
Step:10273 Raw:85 Control:-2.40 
Step:10298 Raw:87 Control:2.08 
